,id,full_name,first_name,last_name,is_active
326,203926,Doug McDermott,Doug,McDermott,True
327,201580,JaVale McGee,JaVale,McGee,True
328,1631121,Bryce McGowens,Bryce,McGowens,True
329,203585,Rodney McGruder,Rodney,McGruder,True
330,1629162,Jordan McLaughlin,Jordan,McLaughlin,True
331,1629001,De'Anthony Melton,De'Anthony,Melton,True
332,1630241,Sam Merrill,Sam,Merrill,True
333,1629002,Chimezie Metu,Chimezie,Metu,True
334,203114,Khris Middleton,Khris,Middleton,True
335,201988,Patty Mills,Patty,Mills,True
336,1629003,Shake Milton,Shake,Milton,True
337,1631169,Josh Minott,Josh,Minott,True
338,1630558,Davion Mitchell,Davion,Mitchell,True
339,1628378,Donovan Mitchell,Donovan,Mitchell,True
340,1630596,Evan Mobley,Evan,Mobley,True
341,1630600,Isaiah Mobley,Isaiah,Mobley,True
342,1631320,Chima Moneke,Chima,Moneke,True
343,1628370,Malik Monk,Malik,Monk,True
344,1630541,Moses Moody,Moses,Moody,True
345,1629875,Xavier Moon,Xavier,Moon,True
346,1631111,Wendell Moore Jr.,Wendell,Moore Jr.,True
347,1629630,Ja Morant,Ja,Morant,True
348,202693,Markieff Morris,Markieff,Morris,True
349,1628420,Monte Morris,Monte,Morris,True
350,202694,Marcus Morris Sr.,Marcus,Morris Sr.,True
351,1630530,Trey Murphy III,Trey,Murphy III,True
352,1627749,Dejounte Murray,Dejounte,Murray,True
353,1627750,Jamal Murray,Jamal,Murray,True
354,1631099,Keegan Murray,Keegan,Murray,True
355,203488,Mike Muscala,Mike,Muscala,True
356,1629004,Svi Mykhailiuk,Svi,Mykhailiuk,True
357,1626204,Larry Nance Jr.,Larry,Nance Jr.,True
358,1629614,Andrew Nembhard,Andrew,Nembhard,True
359,1630174,Aaron Nesmith,Aaron,Nesmith,True
360,203526,Raul Neto,Raul,Neto,True
361,1627777,Georges Niang,Georges,Niang,True
362,1630227,Daishen Nix,Daishen,Nix,True
363,1630192,Zeke Nnaji,Zeke,Nnaji,True
364,203457,Nerlens Noel,Nerlens,Noel,True
365,1629669,Jaylen Nowell,Jaylen,Nowell,True
366,1628373,Frank Ntilikina,Frank,Ntilikina,True
367,1629134,Kendrick Nunn,Kendrick,Nunn,True
368,203994,Jusuf Nurkic,Jusuf,Nurkic,True
369,1629670,Jordan Nwora,Jordan,Nwora,True
370,1626220,Royce O'Neale,Royce,O'Neale,True
371,1629643,Chuma Okeke,Chuma,Okeke,True
372,1629006,Josh Okogie,Josh,Okogie,True
373,1630168,Onyeka Okongwu,Onyeka,Okongwu,True
374,1630171,Isaac Okoro,Isaac,Okoro,True
375,1629644,KZ Okpala,KZ,Okpala,True
376,203506,Victor Oladipo,Victor,Oladipo,True
377,203482,Kelly Olynyk,Kelly,Olynyk,True
378,1630647,Eugene Omoruyi,Eugene,Omoruyi,True
379,1626224,Cedi Osman,Cedi,Osman,True
380,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,True
381,101108,Chris Paul,Chris,Paul,True
382,1626166,Cameron Payne,Cameron,Payne,True
383,1627780,Gary Payton II,Gary,Payton II,True
384,1629033,Theo Pinson,Theo,Pinson,True
385,1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.,True
386,203486,Mason Plumlee,Mason,Plumlee,True
387,1627751,Jakob Poeltl,Jakob,Poeltl,True
388,1630197,Aleksej Pokusevski,Aleksej,Pokusevski,True
389,1629673,Jordan Poole,Jordan,Poole,True
390,1629645,Kevin Porter Jr.,Kevin,Porter Jr.,True
391,1629008,Michael Porter Jr.,Michael,Porter Jr.,True
392,203490,Otto Porter Jr.,Otto,Porter Jr.,True
393,1626171,Bobby Portis,Bobby,Portis,True
394,204001,Kristaps Porzingis,Kristaps,Porzingis,True
395,1630695,Micah Potter,Micah,Potter,True
396,203939,Dwight Powell,Dwight,Powell,True
397,1626181,Norman Powell,Norman,Powell,True
398,1630554,Jason Preston,Jason,Preston,True
399,1630563,Joshua Primo,Joshua,Primo,True
400,1627752,Taurean Prince,Taurean,Prince,True
401,1630202,Payton Pritchard,Payton,Pritchard,True
